,athlete_id,region,age,height,weight,pullups,experience,is_male,experience_level,diet,athletic_background,workout_schedule,BMI,total_lift
21,21269.0,Southern California,30.0,71.0,200.0,35.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,27.891291410434437,1110.0
22,21685.0,Africa,28.0,70.0,176.0,27.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.250612244897958,910.0
27,25464.0,North East,35.0,68.0,225.0,24.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Flexible,34.20739619377163,1335.0
41,37394.0,South East,37.0,73.0,200.0,40.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.383936948770877,1260.0
50,43767.0,North Central,36.0,71.0,199.0,33.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,27.751834953382264,1354.0
52,44053.0,Latin America,34.0,67.0,163.0,48.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.526620628202274,1300.0
60,55504.0,North East,36.0,64.0,155.0,50.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,26.602783203125,1225.0
101,2414.0,South East,44.0,69.0,168.0,34.0,Beginner with coach,1,Expert,Normal Diet,Recreational Sports,Single workout per day,24.80655324511657,1270.0
103,2818.0,South Central,26.0,70.0,197.0,30.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,28.2634693877551,1500.0
105,4356.0,Australia,35.0,70.0,167.0,30.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.95938775510204,1034.0
109,6779.0,Canada East,41.0,70.0,172.0,47.0,Not Provided,1,Expert,Not Provided,Not Provided,Not Provided,24.676734693877552,1477.0
110,6922.0,South West,31.0,67.0,150.0,42.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,23.490755179327245,1145.0
113,8738.0,Southern California,28.0,71.0,205.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,28.5885736956953,1445.0
115,12244.0,South Central,34.0,69.0,185.0,51.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,27.31674018063432,1470.0
116,12563.0,Mid Atlantic,37.0,72.0,210.0,49.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,28.47800925925926,1440.0
121,15740.0,Northern California,27.0,73.0,210.0,48.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.70313379620942,1470.0
145,36133.0,Mid Atlantic,31.0,71.0,160.0,35.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,22.31303312834755,1100.0
149,37616.0,South East,37.0,66.0,192.0,20.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Flexible,30.986225895316803,1205.0
150,39103.0,Mid Atlantic,41.0,68.0,155.0,37.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.565095155709344,960.0
154,41662.0,South West,31.0,71.0,216.0,41.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,30.12259472326919,1425.0
157,43302.0,Australia,44.0,71.0,201.0,40.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,28.03074786748661,1231.0
159,44108.0,South East,34.0,75.0,215.0,34.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.87022222222222,1445.0
162,45084.0,Australia,23.0,73.0,196.0,35.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.85625820979546,1191.0
182,66326.0,Canada West,44.0,68.0,186.0,30.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,28.278114186851212,1030.0
